time,px,py,pz,vx,vy,vz
15.838276,0.0,0.0,0.0,0.0,0.0,0.0
15.838902,0.0,0.0,0.0,0.0,0.0,0.0
15.839527,0.0,0.0,0.0,0.0,0.0,0.0
15.840153,0.0,0.0,0.0,0.0,0.0,0.0
15.840779,0.0,0.0,0.0,0.0,0.0,0.0
15.841405,0.0,0.0,0.0,0.0,0.0,0.0
15.84203,0.0,0.0,0.0,0.0,0.0,0.0
15.84373,0.0,0.0,0.0,0.0,0.0,0.0
15.844355,0.0,0.0,0.0,0.0,0.0,0.0
15.84498,0.0,0.0,0.0,0.0,0.0,0.0
15.845605,0.0,0.0,0.0,0.0,0.0,0.0
15.846231,0.0,0.0,0.0,0.0,0.0,0.0
15.846857,0.0,0.0,0.0,0.0,0.0,0.0
15.847483,0.0,0.0,0.0,0.0,0.0,0.0
15.848108,0.0,0.0,0.0,0.0,0.0,0.0
15.848733,0.0,0.0,0.0,0.0,0.0,0.0
15.849358,0.0,0.0,0.0,0.0,0.0,0.0
15.849984,0.0,0.0,0.0,0.0,0.0,0.0
15.85061,0.0,0.0,0.0,0.0,0.0,0.0
15.851236,0.0,0.0,0.0,0.0,0.0,0.0
15.851862,0.0,0.0,0.0,0.0,0.0,0.0
15.852487,0.0,0.0,0.0,0.0,0.0,0.0
15.854191,0.0,0.0,0.0,0.0,0.0,0.0
15.854816,0.0,0.0,0.0,0.0,0.0,0.0
15.855442,0.0,0.0,0.0,0.0,0.0,0.0
15.856067,0.0,0.0,0.0,0.0,0.0,0.0
15.856693,0.0,0.0,0.0,0.0,0.0,0.0
15.857319,0.0,0.0,0.0,0.0,0.0,0.0
15.857945,0.0,0.0,0.0,0.0,0.0,0.0
15.858571,0.0,0.0,0.0,0.0,0.0,0.0
15.859197,0.0,0.0,0.0,0.0,0.0,0.0
15.859823,0.0,0.0,0.0,0.0,0.0,0.0
15.860476,0.0,0.0,0.0,0.0,0.0,0.0
15.861103,0.0,0.0,0.0,0.0,0.0,0.0
15.861729,0.0,0.0,0.0,0.0,0.0,0.0
15.862355,0.0,0.0,0.0,0.0,0.0,0.0
15.862982,0.0,0.0,0.0,0.0,0.0,0.0
15.864688,0.0,0.0,0.0,0.0,0.0,0.0
15.865314,0.0,0.0,0.0,0.0,0.0,0.0
15.865939,0.0,0.0,0.0,0.0,0.0,0.0
15.866565,0.0,0.0,0.0,0.0,0.0,0.0
15.867191,0.0,0.0,0.0,0.0,0.0,0.0
15.880981,0.0,0.0,0.0,0.0,0.0,0.0
15.88171,0.0,0.0,0.0,0.0,0.0,0.0
15.882335,0.0,0.0,0.0,0.0,0.0,0.0
15.88296,0.0,0.0,0.0,0.0,0.0,0.0
15.883587,0.0,0.0,0.0,0.0,0.0,0.0
15.884213,0.0,0.0,0.0,0.0,0.0,0.0
15.88484,0.0,0.0,0.0,0.0,0.0,0.0
15.885465,0.0,0.0,0.0,0.0,0.0,0.0
15.88609,0.0,0.0,0.0,0.0,0.0,0.0
15.886716,0.0,0.0,0.0,0.0,0.0,0.0
15.887341,0.0,0.0,0.0,0.0,0.0,0.0
15.887967,0.0,0.0,0.0,0.0,0.0,0.0
15.888592,0.0,0.0,0.0,0.0,0.0,0.0
15.889218,0.0,0.0,0.0,0.0,0.0,0.0
15.890968,0.0,0.0,0.0,0.0,0.0,0.0
15.891593,0.0,0.0,0.0,0.0,0.0,0.0
15.892219,0.0,0.0,0.0,0.0,0.0,0.0
15.892844,0.0,0.0,0.0,0.0,0.0,0.0
15.893471,0.0,0.0,0.0,0.0,0.0,0.0
15.894096,0.0,0.0,0.0,0.0,0.0,0.0
15.894721,0.0,0.0,0.0,0.0,0.0,0.0
15.895346,0.0,0.0,0.0,0.0,0.0,0.0
15.895972,0.0,0.0,0.0,0.0,0.0,0.0
15.896598,0.0,0.0,0.0,0.0,0.0,0.0
15.897225,0.0,0.0,0.0,0.0,0.0,0.0
15.89785,0.0,0.0,0.0,0.0,0.0,0.0
15.898476,0.0,0.0,0.0,0.0,0.0,0.0
15.899103,0.0,0.0,0.0,0.0,0.0,0.0
15.89973,0.0,0.0,0.0,0.0,0.0,0.0
15.901443,0.0,0.0,0.0,0.0,0.0,0.0
15.902068,0.0,0.0,0.0,0.0,0.0,0.0
15.902694,0.0,0.0,0.0,0.0,0.0,0.0
15.903319,0.0,0.0,0.0,0.0,0.0,0.0
15.903945,0.0,0.0,0.0,0.0,0.0,0.0
15.90457,0.0,0.0,0.0,0.0,0.0,0.0
15.905195,0.0,0.0,0.0,0.0,0.0,0.0
15.90582,0.0,0.0,0.0,0.0,0.0,0.0
15.906447,0.0,0.0,0.0,0.0,0.0,0.0
15.907072,0.0,0.0,0.0,0.0,0.0,0.0
15.907698,0.0,0.0,0.0,0.0,0.0,0.0
15.908324,0.0,0.0,0.0,0.0,0.0,0.0
15.908949,0.0,0.0,0.0,0.0,0.0,0.0
15.909576,0.0,0.0,0.0,0.0,0.0,0.0
15.910201,0.0,0.0,0.0,0.0,0.0,0.0
15.911919,0.0,0.0,0.0,0.0,0.0,0.0
15.912545,0.0,0.0,0.0,0.0,0.0,0.0
15.913171,0.0,0.0,0.0,0.0,0.0,0.0
15.927028,0.0,0.0,0.0,0.0,0.0,0.0
15.92777,0.0,0.0,0.0,0.0,0.0,0.0
15.928396,0.0,0.0,0.0,0.0,0.0,0.0
15.929022,0.0,0.0,0.0,0.0,0.0,0.0
15.929648,0.0,0.0,0.0,0.0,0.0,0.0
15.930273,0.0,0.0,0.0,0.0,0.0,0.0
15.930899,0.0,0.0,0.0,0.0,0.0,0.0
15.931524,0.0,0.0,0.0,0.0,0.0,0.0
15.932149,0.0,0.0,0.0,0.0,0.0,0.0
15.932775,0.0,0.0,0.0,0.0,0.0,0.0
15.9334,0.0,0.0,0.0,0.0,0.0,0.0
15.934025,0.0,0.0,0.0,0.0,0.0,0.0
15.93465,0.0,0.0,0.0,0.0,0.0,0.0
15.935275,0.0,0.0,0.0,0.0,0.0,0.0
15.936994,0.0,0.0,0.0,0.0,0.0,0.0
15.93762,0.0,0.0,0.0,0.0,0.0,0.0
15.938245,0.0,0.0,0.0,0.0,0.0,0.0
15.93887,0.0,0.0,0.0,0.0,0.0,0.0
15.939495,0.0,0.0,0.0,0.0,0.0,0.0
15.940121,0.0,0.0,0.0,0.0,0.0,0.0
15.940747,0.0,0.0,0.0,0.0,0.0,0.0
15.941374,0.0,0.0,0.0,0.0,0.0,0.0
15.942,0.0,0.0,0.0,0.0,0.0,0.0
15.942626,0.0,0.0,0.0,0.0,0.0,0.0
15.943251,0.0,0.0,0.0,0.0,0.0,0.0
15.943877,0.0,0.0,0.0,0.0,0.0,0.0
15.944503,0.0,0.0,0.0,0.0,0.0,0.0
15.945129,0.0,0.0,0.0,0.0,0.0,0.0
15.945755,0.0,0.0,0.0,0.0,0.0,0.0
15.947454,0.0,0.0,0.0,0.0,0.0,0.0
15.94808,0.0,0.0,0.0,0.0,0.0,0.0
15.948706,0.0,0.0,0.0,0.0,0.0,0.0
15.949332,0.0,0.0,0.0,0.0,0.0,0.0
15.949958,0.0,0.0,0.0,0.0,0.0,0.0
15.950584,0.0,0.0,0.0,0.0,0.0,0.0
15.95121,0.0,0.0,0.0,0.0,0.0,0.0
15.951835,0.0,0.0,0.0,0.0,0.0,0.0
15.952462,0.0,0.0,0.0,0.0,0.0,0.0
15.953088,0.0,0.0,0.0,0.0,0.0,0.0
15.953713,0.0,0.0,0.0,0.0,0.0,0.0
15.954339,0.0,0.0,0.0,0.0,0.0,0.0
15.954964,0.0,0.0,0.0,0.0,0.0,0.0
15.955589,0.0,0.0,0.0,0.0,0.0,0.0
15.956214,0.0,0.0,0.0,0.0,0.0,0.0
15.957912,0.0,0.0,0.0,0.0,0.0,0.0
15.958538,0.0,0.0,0.0,0.0,0.0,0.0
15.959164,0.0,0.0,0.0,0.0,0.0,0.0
15.972946,0.0,0.0,0.0,0.0,0.0,0.0
15.973654,0.0,0.0,0.0,0.0,0.0,0.0
15.974279,0.0,0.0,0.0,0.0,0.0,0.0
15.974906,0.0,0.0,0.0,0.0,0.0,0.0
15.975531,0.0,0.0,0.0,0.0,0.0,0.0
15.976156,0.0,0.0,0.0,0.0,0.0,0.0
15.976782,0.0,0.0,0.0,0.0,0.0,0.0
15.977539,0.0,0.0,0.0,0.0,0.0,0.0
15.978164,0.0,0.0,0.0,0.0,0.0,0.0
15.97879,0.0,0.0,0.0,0.0,0.0,0.0
