index,x,y,z,yaw,distance
57.3120,-0.0007,0.0001,-0.0005,0.0001,0.0142
57.4120,0.0001,0.0007,0.0005,-0.0095,-0.0049
57.5120,-0.0002,0.0004,-0.0003,0.0049,-0.0097
57.6120,-0.0002,0.0007,0.0008,0.0025,0.0166
57.7120,0.0009,-0.0001,-0.0000,-0.0167,-0.0169
57.8120,0.0006,0.0004,-0.0005,-0.0071,-0.0073
57.9120,0.0001,0.0001,-0.0008,0.0144,0.0046
58.0120,-0.0002,-0.0009,-0.0011,0.0025,0.0046
58.1120,0.0001,-0.0004,-0.0008,-0.0095,-0.0049
58.2120,-0.0005,0.0009,0.0003,0.0025,0.0022
58.3120,0.0003,-0.0001,-0.0003,-0.0023,-0.0097
58.4120,0.0003,-0.0001,0.0008,0.0144,-0.0121
58.5120,0.0003,-0.0004,-0.0000,0.0001,-0.0193
58.6120,-0.0002,0.0007,0.0005,0.0096,0.0070
58.7120,-0.0005,0.0004,-0.0008,-0.0119,0.0094
58.8120,-0.0002,0.0001,-0.0003,0.0120,0.0190
58.9120,-0.0002,0.0001,-0.0000,0.0072,0.0022
59.0120,-0.0005,0.0001,-0.0005,-0.0023,-0.0073
59.1120,0.0001,0.0004,0.0003,0.0001,-0.0073
59.2120,0.0001,0.0004,0.0003,-0.0095,-0.0049
59.3120,0.0003,0.0012,-0.0005,0.0096,0.0070
59.4120,-0.0002,0.0004,-0.0005,0.0096,-0.0001
59.5120,-0.0002,-0.0001,-0.0005,-0.0023,-0.0001
59.6120,0.0003,0.0007,-0.0005,-0.0047,-0.0049
59.7120,-0.0007,0.0007,-0.0000,0.0072,0.0046
59.8120,-0.0010,0.0012,0.0005,-0.0047,-0.0001
59.9120,0.0001,0.0007,-0.0000,-0.0023,0.0142
60.0120,0.0006,0.0012,-0.0000,0.0072,-0.0001
60.1120,-0.0005,0.0004,-0.0000,0.0049,-0.0001
60.2120,0.0001,0.0007,-0.0005,0.0144,-0.0025
60.3120,-0.0005,0.0009,-0.0003,0.0072,0.0118
60.4120,0.0009,0.0007,-0.0000,-0.0071,0.0118
60.5120,0.0003,0.0009,0.0003,-0.0071,0.0046
60.6120,-0.0007,0.0012,-0.0005,-0.0143,-0.0097
