Timestamp(us)	AccelX(g)	AccelY(g)	AccelZ(g)	GyroX(dps)	GyroY(dps)	GyroZ(dps)
4889411	0.0063	-0.2202	1.0249	4.0283	-6.1646	-7.8125
4901397	0.0254	-0.1743	0.981	8.1787	-7.6904	-5.8594
4913415	0.0635	-0.1733	0.9614	10.6812	-5.9204	-3.0518
4925397	0.0474	-0.1812	0.9814	9.7656	-5.188	-2.7466
4937411	-0.0039	-0.1733	1.0107	-5.9204	-9.0332	-4.8218
4949401	-0.0195	-0.1543	0.9946	-23.0713	-18.0664	-10.6201
4963411	0.0225	-0.2153	0.7793	-16.7847	-18.4326	-14.2212
4975397	0.1045	-0.1841	0.6533	5.7373	7.8125	-15.686
4987403	0.042	-0.1284	0.8911	19.8364	32.1045	-12.9395
4999401	-0.0044	-0.1133	1.1387	16.3574	29.8462	-9.4604
5011415	-0.0088	-0.1577	1.1968	-0.4883	13.9771	-10.8643
5023397	0.0005	-0.1416	1.1396	-3.8452	4.9438	-13.3667
5035411	0.0151	-0.1021	1.0488	-0.4883	2.5024	-13.2446
5047401	0.0327	-0.0913	1.0029	5.9814	4.2725	-10.0708
5059415	0.0142	-0.084	1.0122	18.2495	4.3945	-7.019
5073397	0.0166	-0.0698	0.9668	31.25	5.6152	0.2441
5085415	0.0156	-0.1768	0.9561	23.0103	6.2866	4.7607
5097401	0.0029	-0.2744	0.9761	12.9395	4.8828	-2.1362
5109411	-0.0249	-0.2363	0.9385	6.7139	7.2021	-12.9395
5121397	0.0581	-0.0742	0.8667	24.7803	33.8135	10.0708
5133411	-0.0713	-0.0142	0.9629	18.6157	31.5552	-9.0942
5145430	-0.2275	0.1797	0.9668	0.8545	22.0947	-16.0522
5157403	-0.1084	0.1465	1.0029	-4.9438	12.0239	-7.6294
5169384	-0.1108	0.126	0.9302	1.0986	7.2632	6.4087
5181407	-0.0444	-0.0669	0.8418	13.9771	21.3623	25.6958
5196529	0.0098	-0.1855	1.1406	50.415	15.1978	38.6353
5209411	-0.1025	0.1104	0.8589	39.5508	17.2729	23.5596
5221384	-0.0972	0.04	1.0024	17.4561	22.2778	7.3242
5233415	-0.1558	-0.0317	0.9692	-2.4414	21.4233	-3.8452
5245401	-0.0537	0.0122	0.9336	-13.1226	27.0996	-10.498
5258419	-0.0972	0.0088	1.1279	-15.0146	19.8364	-15.3198
5270407	-0.1133	0.0273	1.1509	-5.4932	0.9766	-12.207
5282415	-0.0659	0.0103	1.0088	11.7188	-11.4136	-8.7891
5295475	-0.0811	0.0542	0.896	17.7612	-11.1084	-4.0283
5309411	-0.0776	-0.0273	0.9106	14.1602	-4.6387	1.5259
5321411	-0.0522	-0.061	0.958	8.7891	0.6714	-2.8687
5333415	-0.0513	-0.0347	1.0254	0.8545	3.54	-8.7891
5345411	-0.0654	-0.0068	1.1167	-1.0986	1.4648	-10.498
5357411	-0.103	0.0015	1.123	5.4932	-6.958	-9.6436
5369411	-0.0801	0.0034	0.9707	12.5122	-19.7754	-7.6904
5381415	-0.0127	0.0039	0.8521	12.7563	-16.4795	-3.9062
5394447	0.0059	-0.0615	0.894	12.4512	-3.2349	0.061
5406411	-0.0215	-0.0928	0.9517	13.916	2.3193	-2.0752
5418407	-0.0469	-0.0171	0.9644	10.437	4.0894	-5.9814
5432415	-0.0615	0.0273	1.0366	0.3662	4.0283	-6.6528
5444407	-0.0854	0.0415	1.0942	-2.3804	-0.2441	-5.6763
5456419	-0.0703	0.0347	1.1089	-0.6714	-10.5591	-3.2349
5468411	-0.0537	-0.0122	1.063	4.2114	-19.8364	-0.3052
5480411	-0.0366	-0.0562	1.0146	6.0425	-24.7803	0.6714
5492407	-0.0044	-0.1113	1.0039	6.2866	-24.5972	-2.5024
5504411	-0.019	-0.0957	1.0205	8.9111	-21.2402	-9.2773
5516411	-0.0786	-0.0015	1.0645	12.8784	-20.874	-9.9487
5528415	-0.1064	0.0376	1.0557	15.9912	-23.0103	-7.0801
5542407	-0.1304	0.0322	1.0103	12.5732	-28.5034	-3.418
5555551	-0.0723	-0.0786	0.9438	9.3384	-27.0386	-8.1177
5567411	-0.0371	-0.1133	0.9561	10.8032	-20.5078	-12.8174
5579411	-0.0347	-0.0947	1.0273	16.1743	-18.1885	-17.0288
5591407	-0.0337	-0.0576	0.9956	19.4092	-16.9067	-21.6064
