Timestamp(us)	AccelX(g)	AccelY(g)	AccelZ(g)	GyroX(dps)	GyroY(dps)	GyroZ(dps)
6123525	-0.0156	0.0073	0.999	0.6104	-0.7324	-0.1221
6135394	-0.0137	0.0093	1.0063	0.9766	-0.5493	-0.061
6149408	-0.0161	0.0063	1.0078	0.8545	-0.7935	-0.061
6161404	-0.0142	0.0083	1.0029	0.8545	-1.0986	-0.061
6173404	-0.0132	0.0107	1.0093	0.6714	-0.9155	0
6185408	-0.0161	0.0049	0.9995	0.6714	-0.7324	0.061
6197388	-0.0122	0.0059	1.0146	0.7935	-0.7324	-0.1221
6209404	-0.0146	0.0083	1.0029	1.0376	-0.8545	-0.061
6221404	-0.0151	0.0049	1.0151	0.7324	-0.6104	-0.1221
6233408	-0.0117	0.0073	1.0049	0.8545	-0.7324	-0.1831
6245408	-0.0171	0.0054	1.0103	0.6104	-0.6714	-0.1221
6257404	-0.0093	0.0059	1.0078	0.6104	-0.7935	-0.1831
6271408	-0.0151	0.0049	1.0049	0.6714	-0.6714	-0.1221
6283403	-0.0161	0.0063	1	0.5493	-0.6104	-0.1221
6295404	-0.0137	0.0063	1.001	0.9155	-0.7935	-0.1831
6307404	-0.0146	0.0044	1.0083	0.7324	-0.7324	-0.061
6319408	-0.0107	0.0093	1.0078	0.6714	-0.6714	-0.1221
6331408	-0.0098	0.0083	1.0059	0.6714	-0.6104	-0.1221
6343404	-0.0122	0.0068	1.0029	0.9766	-0.7324	-0.2441
6355404	-0.0078	0.0112	1.0063	0.7324	-0.7935	-0.1221
6367399	-0.0117	0.0068	1.0034	0.9155	-0.6714	-0.061
6379408	-0.0127	0.0083	1.0044	0.9155	-0.6104	-0.2441
6393404	-0.0166	0.0044	1.0083	0.6714	-0.7935	-0.1831
6405404	-0.0166	0.0098	1.0107	0.7324	-0.7324	-0.1831
6417408	-0.0137	0.0068	1.0083	0.5493	-0.9155	-0.2441
6429399	-0.0093	0.0112	1.0044	0.7324	-0.6714	-0.1221
6441404	-0.0083	0.002	1.0005	0.6104	-0.8545	-0.1831
6453399	-0.0112	0	1.0063	0.6714	-0.7935	-0.1831
6465408	-0.0176	0.001	1.0151	0.8545	-0.7935	-0.3662
6477483	-0.0171	0.0068	1.0083	0.7935	-0.7935	-0.1221
6490525	-0.0176	0.0093	1.0078	0.7935	-0.5493	0
6504408	-0.0156	0.0063	1.0068	0.7324	-0.7935	-0.1831
6516399	-0.0103	0.0054	1.0117	0.7324	-0.8545	-0.2441
6528404	-0.0083	0.0059	1.0044	0.6714	-0.6714	0
6540404	-0.0093	0.0063	1.0049	0.6714	-0.6714	-0.2441
6552408	-0.0161	0.0034	1.02	0.8545	-0.7935	-0.1221
6564408	-0.0166	0.0059	1.0073	0.6714	-0.7935	-0.061
6576434	-0.0181	0.0044	0.9995	0.9155	-0.7324	0
6588388	-0.0142	0.0024	1.0112	0.7935	-0.7324	-0.3052
6600404	-0.0142	0.0029	1.0034	0.8545	-0.9155	-0.1221
6612408	-0.0112	0.0044	1.0117	0.7324	-0.8545	0.061
6634884	-0.0132	0.0068	1.0078	0.7935	-0.7324	0
6647409	-0.021	0.0049	1.0059	0.6104	-0.6714	-0.1831
6659404	-0.0166	0.0093	1.0054	0.8545	-0.8545	-0.2441
6671409	-0.02	0.0063	1.0166	0.8545	-0.7324	-0.061
6683453	-0.0083	0.0107	1.0054	0.6104	-0.9155	-0.4272
6695409	-0.0107	0.0103	1.0156	0.6714	-0.8545	-0.1831
6707400	-0.0132	0.0068	1	0.7935	-0.6714	-0.1831
6719400	-0.0132	0.0059	1.0127	0.9155	-0.7324	-0.061
6731404	-0.0181	0.002	1.0127	0.6714	-0.7324	0
6743404	-0.0132	0.0015	1.0059	0.6714	-0.6104	-0.1221
6757400	-0.0156	0.0005	1.0103	0.6104	-0.7935	-0.061
6769400	-0.0137	0.0024	1.0024	0.7324	-0.5493	0
6781404	-0.0137	0.0024	1.0137	0.8545	-0.6104	-0.1221
6793404	-0.0103	0.0073	1.001	1.0376	-0.7935	-0.2441
6805400	-0.0122	0.0093	0.9966	0.8545	-0.8545	-0.1221
6817384	-0.0103	0.0078	1.0078	0.7324	-0.9155	-0.1831
6829404	-0.0098	0.0044	1.0034	0.7935	-0.6104	0
6842530	-0.0132	-0.0015	1.0098	0.4272	-0.7935	-0.1831
6855400	-0.0117	0.0098	0.9907	0.9766	-0.6714	-0.1221
6869392	-0.0127	0.0044	1.0161	0.9766	-0.7935	-0.061
6881409	-0.0137	0.002	1.0127	0.5493	-0.6104	-0.3662
6893404	-0.0181	0.0063	1.0151	0.6104	-0.6714	-0.1831
6905409	-0.0195	0.0068	1.0005	0.6104	-0.6104	-0.1221
6917404	-0.0151	0.0044	1.0122	0.7324	-0.7324	-0.061
6929409	-0.0103	0.0063	1.0093	0.6104	-0.7935	-0.1221
6941412	-0.0103	0.0059	1.0034	0.6714	-0.6714	-0.3662
6953409	-0.0103	0.0063	1.0059	0.8545	-0.7324	-0.3052
6965409	-0.0146	0.0039	1.0059	0.7935	-0.4883	-0.1831
6977409	-0.0137	0.0049	1.0073	0.6104	-0.7324	0
6991417	-0.0137	0.0063	1.0034	0.6104	-0.7324	-0.1831
7003400	-0.0122	0.0034	1.0103	0.4883	-0.6714	-0.1831
7015409	-0.0137	0.0068	1.0044	1.0376	-0.9155	-0.1221
7027404	-0.0151	0.0083	1.0068	0.8545	-0.9155	-0.1221
7039404	-0.0122	0.0044	1.0059	0.7935	-0.6714	-0.061
7051409	-0.0161	0.0034	1.0059	0.6714	-0.6104	-0.3052
7063409	-0.0132	0.0083	1.0093	0.6714	-0.7935	-0.061
7075409	-0.0146	0.0068	1.0059	0.7935	-0.7935	-0.1221
7087404	-0.0112	0.0068	1.0063	0.7324	-0.7324	-0.1221
7100409	-0.0122	0.0068	1.0098	0.8545	-0.8545	-0.1221
7114409	-0.0161	0.0063	1.0029	0.7935	-0.6104	-0.061
7126404	-0.0142	0.0078	1.0098	0.6714	-0.6104	-0.061
7138409	-0.0127	0.0044	1.0059	0.7324	-0.5493	-0.1221
7150409	-0.0137	0.0059	1.0073	0.7935	-0.7324	0.061
7162409	-0.0132	0.0044	1.0103	0.7935	-0.8545	-0.1831
7174404	-0.019	0.0049	1.0112	0.8545	-0.6714	-0.3662
7186404	-0.0137	0.0088	1.0112	0.8545	-0.9155	0
7198400	-0.0122	0.0088	1.0044	0.5493	-0.6714	-0.1221
7211530	-0.0093	0.0059	1.0088	0.6714	-0.5493	-0.1831
7223045	-0.0137	0.0054	1.0078	0.7935	-0.7935	-0.1831
7235401	-0.0142	0.0073	1.0078	0.5493	-0.8545	-0.1221
7247405	-0.0122	0.0073	1.0068	0.7324	-0.7935	-0.1831
7259405	-0.0142	0.0044	1.0117	0.7935	-0.7324	0
7271401	-0.0161	0.0049	1.0098	0.6104	-0.5493	-0.1221
7283401	-0.0127	0.0039	1.0039	0.8545	-0.8545	0.061
7295405	-0.0098	0.0068	1.0083	0.8545	-0.4883	-0.1221
7307396	-0.0112	0.0044	1.0044	0.7935	-0.7935	-0.2441
7319401	-0.0137	0.0068	1.0078	0.7324	-0.7324	-0.3052
7331396	-0.0117	0.002	1.0078	0.7935	-0.6104	-0.3662
7345405	-0.0083	0.0068	1.0059	0.6104	-0.7935	-0.1831
7357405	-0.0127	0.0059	1.002	0.9155	-0.8545	-0.3052
7369401	-0.0166	0.002	1.0063	0.5493	-0.6104	-0.1831
7381401	-0.0146	0.0078	1.0078	0.7324	-0.7324	0.061
7393396	-0.0103	0.0063	1.0054	0.4272	-0.8545	-0.061
7405405	-0.0151	0.0059	1.0098	0.6714	-0.4272	0.061
7417401	-0.0181	0.0068	1.0127	0.5493	-0.9155	-0.1221
7429401	-0.0156	0.0059	1.0078	0.6714	-0.7324	0.1221
7441405	-0.0151	0.0059	1.001	0.6714	-0.7935	-0.061
7453405	-0.0112	0.0078	1.0073	0.7935	-0.6104	-0.1221
7467401	-0.0117	0.0068	1.0117	0.7935	-0.7324	-0.1831
7479400	-0.0142	0.0044	1.0059	0.8545	-0.6104	-0.1221
