time,type,distance,
118.9021,L,126.28,FALSE
118.884413,R,84.57,FALSE
118.895413,U,63.02,FALSE
118.933405,R,84.57,FALSE
118.945134,U,62.97,FALSE
118.949501,L,52.69,FALSE
119.001088,L,123.74,FALSE
118.982393,R,84.62,FALSE
118.994856,U,62.95,FALSE
119.050544,L,121.17,FALSE
119.031458,R,87.14,FALSE
119.044575,U,62.99,FALSE
119.080528,R,89.6,FALSE
119.098239,L,57.66,FALSE
119.094325,U,62.9,FALSE
119.129597,R,92.17,FALSE
119.148211,L,72.92,FALSE
119.178813,R,99.78,FALSE
119.144045,U,63.07,FALSE
119.193769,U,62.87,FALSE
119.197811,L,75.5,FALSE
119.247411,L,78,FALSE
119.227813,R,99.67,FALSE
119.243513,U,62.99,FALSE
119.297017,L,80.51,FALSE
119.276884,R,102.18,FALSE
119.293235,U,62.99,FALSE
119.326025,R,107.26,FALSE
119.346545,L,80.53,FALSE
119.342961,U,62.88,FALSE
119.39725,L,121.2,FALSE
119.375098,R,109.75,FALSE
119.392681,U,62.99,FALSE
119.424168,R,112.34,FALSE
119.445747,L,85.61,FALSE
119.442405,U,62.88,FALSE
119.49535,L,88.15,FALSE
119.473237,R,114.93,FALSE
119.492049,U,60.43,FALSE
119.520559,R,57.01,FALSE
