time,accel x,accel y,accel z,gyro x,gyro y,gyro z
38.877769,0.092636719,-0.008805298,0.908573151,-19.976295471,23.912727356,-73.687232971
38.878394,0.096298829,-0.009903931,0.907596588,-19.716896057,23.737251282,-73.946632385
38.880136,0.090073243,-0.012955689,0.899417877,-19.282020569,23.523628235,-73.870338440
38.880761,0.086044922,-0.014664673,0.898563385,-19.350685120,23.561775208,-74.289955139
38.881388,0.084824219,-0.016739868,0.899295807,-19.083656311,23.325263977,-74.297584534
38.882015,0.082993165,-0.020768188,0.897098541,-18.694557190,23.218452454,-74.534095764
38.882640,0.085556641,-0.022721313,0.892459869,-18.877662659,22.676765442,-74.854530334
38.883267,0.083359376,-0.025406860,0.889286041,-18.671669006,22.959053040,-74.694313049
38.883892,0.082993165,-0.027482055,0.884403229,-18.557228088,22.669136047,-74.885047913
38.884517,0.080063477,-0.029801391,0.879886627,-18.175758362,22.356330872,-75.030006409
38.885143,0.078232422,-0.026749633,0.879398346,-18.137611389,22.516548157,-75.037635803
38.885768,0.072495118,-0.029557250,0.878299713,-18.267311096,22.043525696,-75.228370667
38.886395,0.073227540,-0.029923461,0.878055573,-17.946876526,21.791755676,-75.190223694
38.887022,0.074204102,-0.032486938,0.873783112,-18.007911682,21.601020813,-75.274147034
38.887648,0.074692383,-0.035172485,0.873538971,-17.656959534,21.326362610,-75.510658264
38.888274,0.074936524,-0.034684204,0.870609283,-17.389930725,21.059333801,-75.701393127
38.888900,0.074936524,-0.037735961,0.868534088,-17.672218323,21.181404114,-75.785316467
38.890653,0.071396485,-0.037003540,0.865848541,-17.626441956,20.723640442,-76.059974670
38.891279,0.068710938,-0.037003540,0.867801666,-17.756141663,20.647346497,-75.991310120
38.891904,0.067001954,-0.041886352,0.865482330,-17.733253479,20.487129211,-76.082862854
38.905790,0.024155274,-0.112809204,0.837528229,-19.091285706,14.673530579,-74.961341858
38.906514,0.021958008,-0.109635375,0.837772369,-18.839515686,14.284431458,-74.961341858
38.907141,0.015976563,-0.108902954,0.838748932,-18.328346252,14.253913879,-74.648536682
38.907767,0.005844727,-0.111832641,0.841068268,-17.656959534,13.895332336,-74.122108459
38.908394,-0.007827148,-0.112809204,0.838016510,-17.283119202,13.391792297,-74.152626038
38.909019,-0.017104492,-0.110611938,0.840335846,-17.023719788,12.941658020,-73.725379944
38.909645,-0.023696288,-0.115616821,0.837894440,-16.749061584,12.255012512,-73.809303284
38.910271,-0.024794921,-0.118790649,0.838260651,-16.398109436,11.644660950,-73.557533264
38.910898,-0.025649413,-0.123551391,0.836307526,-15.787757874,11.522590637,-73.343910217
38.911524,-0.027480468,-0.129776984,0.833255768,-15.131629944,11.011421204,-73.237098694
38.912151,-0.032851562,-0.132462531,0.829227448,-14.277137756,10.752021790,-73.214210510
38.912777,-0.037612304,-0.132950813,0.831302643,-13.498939514,10.362922668,-72.970069885
38.913404,-0.049331054,-0.132828742,0.826541901,-12.362159729,9.729682922,-73.061622620
38.914029,-0.055556640,-0.134659797,0.831058502,-11.301673889,9.317695618,-72.809852600
38.915760,-0.054213867,-0.138077766,0.837039948,-8.631385803,7.265388489,-72.413124084
38.916387,-0.057143554,-0.137833625,0.839969635,-7.624305725,6.693183899,-72.214759827
38.917014,-0.055922851,-0.136002570,0.844364166,-6.380714417,6.128608704,-72.191871643
38.917640,-0.056777343,-0.131363899,0.848026276,-5.716957092,5.548774719,-72.062171936
38.918267,-0.062270507,-0.126481086,0.854129791,-4.404701233,5.243598938,-71.924842834
38.918892,-0.059951171,-0.123307250,0.857547760,-3.565467834,4.648506165,-71.741737366
38.919518,-0.063735351,-0.120743774,0.862674713,-2.604164124,4.099189758,-71.345008850
38.920145,-0.059340820,-0.119645141,0.865848541,-2.192176819,3.603279114,-71.261085510
38.920771,-0.063002929,-0.113541625,0.870731354,-1.253761292,3.023445129,-71.444190979
38.921396,-0.061904296,-0.110001586,0.874881744,-0.384010315,2.840339661,-71.314491272
38.922023,-0.058974609,-0.104142211,0.876224518,0.264488220,2.504646301,-71.100868225
38.922648,-0.055678710,-0.098282836,0.880374908,0.851951599,1.879035950,-70.902503967
38.923273,-0.057875976,-0.087906860,0.884769440,1.553855896,1.703559875,-70.574440002
38.923898,-0.055800781,-0.085099243,0.887088776,2.049766541,1.276313782,-70.772804260
