time,r00,r01,r02,r10,r11,r12,r20,r21,r22
4.912372589111328125e+01,9.982995390892028809e-01,-2.069232286885380745e-03,5.826058238744735718e-02,0.000000000000000000e+00,9.993701577186584473e-01,3.549447283148765564e-02,-5.829731374979019165e-02,-3.543410822749137878e-02,9.976704716682434082e-01
4.913898849487304688e+01,9.987062811851501465e-01,-1.915367669425904751e-03,5.081343278288841248e-02,0.000000000000000000e+00,9.992902874946594238e-01,3.766736760735511780e-02,-5.084951594471931458e-02,-3.761864081025123596e-02,9.979975223541259766e-01
4.917744064331054688e+01,9.992057085037231445e-01,-1.440742518752813339e-03,3.982804343104362488e-02,4.074536263942718506e-10,9.993465542793273926e-01,3.615041822195053101e-02,-3.985409066081047058e-02,-3.612169623374938965e-02,9.985525608062744141e-01
4.921579742431640625e+01,9.994328618049621582e-01,-1.404216745868325233e-03,3.364970535039901733e-02,2.328306436538696289e-10,9.991306066513061523e-01,4.169414192438125610e-02,-3.367899358272552490e-02,-4.167048633098602295e-02,9.985637664794921875e-01
4.923007965087890625e+01,9.994516968727111816e-01,-1.529461937025189400e-03,3.307625278830528259e-02,-1.164153218269348145e-10,9.989326596260070801e-01,4.619112983345985413e-02,-3.311159834265708923e-02,-4.616579785943031311e-02,9.983848929405212402e-01
4.924546432495117188e+01,9.994373917579650879e-01,-1.744379755109548569e-03,3.350505605340003967e-02,1.164153218269348145e-10,9.986478686332702637e-01,5.199277028441429138e-02,-3.355043753981590271e-02,-5.196349695324897766e-02,9.980856180191040039e-01
4.924616622924804688e+01,9.994368553161621094e-01,-1.753394957631826401e-03,3.352263942360877991e-02,1.164153218269348145e-10,9.986353516578674316e-01,5.223340913653373718e-02,-3.356846049427986145e-02,-5.220397189259529114e-02,9.980725049972534180e-01
4.924675750732421875e+01,9.994343519210815430e-01,-1.765840454027056694e-03,3.358604013919830322e-02,0.000000000000000000e+00,9.986208081245422363e-01,5.250410363078117371e-02,-3.363242745399475098e-02,-5.247439816594123840e-02,9.980558753013610840e-01
4.924738311767578125e+01,9.994320869445800781e-01,-1.779074198566377163e-03,3.365324065089225769e-02,0.000000000000000000e+00,9.986056685447692871e-01,5.279115960001945496e-02,-3.370023146271705627e-02,-5.276117101311683655e-02,9.980384707450866699e-01
4.924797058105468750e+01,9.994299411773681641e-01,-1.791364746168255806e-03,3.371544554829597473e-02,5.820766091346740723e-11,9.985916018486022949e-01,5.305703356862068176e-02,-3.376300260424613953e-02,-5.302678421139717102e-02,9.980222582817077637e-01
4.924858856201171875e+01,9.994277358055114746e-01,-1.804398838430643082e-03,3.378120809793472290e-02,5.820766091346740723e-11,9.985766410827636719e-01,5.333824828267097473e-02,-3.382936120033264160e-02,-5.330771580338478088e-02,9.980050921440124512e-01
4.924917984008789062e+01,9.994256496429443359e-01,-1.816828269511461258e-03,3.384371474385261536e-02,5.820766091346740723e-11,9.985623359680175781e-01,5.360570177435874939e-02,-3.389244899153709412e-02,-5.357490107417106628e-02,9.979886412620544434e-01
4.924980545043945312e+01,9.994235634803771973e-01,-1.829914748668670654e-03,3.390932455658912659e-02,5.820766091346740723e-11,9.985473752021789551e-01,5.388654395937919617e-02,-3.395866230130195618e-02,-5.385546758770942688e-02,9.979714751243591309e-01
4.928799057006835938e+01,9.990940690040588379e-01,-2.677396871149539948e-03,4.247863218188285828e-02,1.164153218269348145e-10,9.980198740959167480e-01,6.290443986654281616e-02,-4.256292805075645447e-02,-6.284742802381515503e-02,9.971154332160949707e-01
4.932635879516601562e+01,9.985899925231933594e-01,-3.481277264654636383e-03,5.297385528683662415e-02,0.000000000000000000e+00,9.978477358818054199e-01,6.557545065879821777e-02,-5.308812484145164490e-02,-6.548297405242919922e-02,9.964405894279479980e-01
4.934051132202148438e+01,9.983729124069213867e-01,-3.797119483351707458e-03,5.689446255564689636e-02,1.164153218269348145e-10,9.977802634239196777e-01,6.659155339002609253e-02,-5.702103301882743835e-02,-6.648320704698562622e-02,9.961568117141723633e-01
4.935592269897460938e+01,9.980965852737426758e-01,-4.311205819249153137e-03,6.152268126606941223e-02,-2.328306436538696289e-10,9.975539445877075195e-01,6.990365684032440186e-02,-6.167354807257652283e-02,-6.977058947086334229e-02,9.956550002098083496e-01
4.939430618286132812e+01,9.978207945823669434e-01,-5.073407664895057678e-03,6.579405814409255981e-02,-2.328306436538696289e-10,9.970406889915466309e-01,7.688221335411071777e-02,-6.598936766386032104e-02,-7.671463489532470703e-02,9.948674440383911133e-01
4.943262481689453125e+01,9.979668855667114258e-01,-4.569184500724077225e-03,6.356997787952423096e-02,4.656612873077392578e-10,9.974268078804016113e-01,7.169149816036224365e-02,-6.373398005962371826e-02,-7.154574990272521973e-02,9.953989982604980469e-01
4.944692611694335938e+01,9.980362653732299805e-01,-4.224570002406835556e-03,6.250184774398803711e-02,4.656612873077392578e-10,9.977238178253173828e-01,6.743726134300231934e-02,-6.264445185661315918e-02,-6.730480492115020752e-02,9.957642555236816406e-01
4.946232604980468750e+01,9.981326460838317871e-01,-3.861074335873126984e-03,6.096473708748817444e-02,1.164153218269348145e-10,9.980006814002990723e-01,6.320628523826599121e-02,-6.108688190579414368e-02,-6.308823823928833008e-02,9.961368441581726074e-01
4.951118850708007812e+01,9.980978965759277344e-01,-2.667152788490056992e-03,6.159494817256927490e-02,1.047737896442413330e-09,9.990640282630920410e-01,4.326093941926956177e-02,-6.165266782045364380e-02,-4.317864030599594116e-02,9.971634745597839355e-01
4.954960250854492188e+01,9.977658390998840332e-01,-3.211639355868101120e-03,6.673499196767807007e-02,1.047737896442413330e-09,9.988442659378051758e-01,4.806962609291076660e-02,-6.681222468614578247e-02,-4.796221852302551270e-02,9.966124296188354492e-01
4.956387329101562500e+01,9.976927638053894043e-01,-3.421318484470248222e-03,6.781101226806640625e-02,2.328306436538696289e-10,9.987300634384155273e-01,5.038964748382568359e-02,-6.789726018905639648e-02,-5.027336627244949341e-02,9.964253306388854980e-01
4.957928085327148438e+01,9.978882670402526855e-01,-3.553507151082158089e-03,6.485705822706222534e-02,2.328306436538696289e-10,9.985024333000183105e-01,5.470777302980422974e-02,-6.495433300733566284e-02,-5.459224432706832886e-02,9.963938593864440918e-01
4.961762619018554688e+01,9.986882209777832031e-01,-2.794337924569845200e-03,5.112440511584281921e-02,2.328306436538696289e-10,9.985094666481018066e-01,5.457614734768867493e-02,-5.120071396231651306e-02,-5.450456216931343079e-02,9.971997737884521484e-01
4.965599060058593750e+01,9.990248084068298340e-01,-1.741842599585652351e-03,4.411400854587554932e-02,-1.164153218269348145e-10,9.992212057113647461e-01,3.945427760481834412e-02,-4.414838552474975586e-02,-3.941581025719642639e-02,9.982469081878662109e-01
4.967026519775390625e+01,9.990966320037841797e-01,-1.608380232937633991e-03,4.247394576668739319e-02,2.328306436538696289e-10,9.992841482162475586e-01,3.784033283591270447e-02,-4.250438883900642395e-02,-3.780613467097282410e-02,9.983810782432556152e-01
4.968568420410156250e+01,9.991112947463989258e-01,-1.475919620133936405e-03,4.212797805666923523e-02,0.000000000000000000e+00,9.993870258331298828e-01,3.501271456480026245e-02,-4.215382412075996399e-02,-3.498159348964691162e-02,9.984987378120422363e-01
4.972406387329101562e+01,9.992170929908752441e-01,-1.688287593424320221e-03,3.951858729124069214e-02,-1.746229827404022217e-10,9.990884065628051758e-01,4.268242046236991882e-02,-3.955463320016860962e-02,-4.264901950955390930e-02,9.983065128326416016e-01
4.976241683959960938e+01,9.991873502731323242e-01,-1.735461410135030746e-03,4.027491807937622070e-02,-5.820766091346740723e-11,9.990730881690979004e-01,4.305043816566467285e-02,-4.031229019165039062e-02,-4.301544278860092163e-02,9.982609748840332031e-01
4.977671813964843750e+01,9.991865754127502441e-01,-1.770918606780469418e-03,4.028186574578285217e-02,-1.164153218269348145e-10,9.990348219871520996e-01,4.392074793577194214e-02,-4.032077267765998840e-02,-4.388502985239028931e-02,9.982224106788635254e-01
4.979211425781250000e+01,9.991548061370849609e-01,-1.674974337220191956e-03,4.107531532645225525e-02,0.000000000000000000e+00,9.991697669029235840e-01,4.074426367878913879e-02,-4.110945388674736023e-02,-4.070981964468955994e-02,9.983251094818115234e-01
4.983043670654296875e+01,9.991461038589477539e-01,-1.271931687369942665e-03,4.129260405898094177e-02,1.746229827404022217e-10,9.995257854461669922e-01,3.078828193247318268e-02,-4.131219163537025452e-02,-3.076199628412723541e-02,9.986724257469177246e-01
4.986883926391601562e+01,9.988709092140197754e-01,-1.114691956900060177e-03,4.749274253845214844e-02,-2.328306436538696289e-10,9.997246265411376953e-01,2.346432581543922424e-02,-4.750582575798034668e-02,-2.343783527612686157e-02,9.985958933830261230e-01
